週次,日期,階段,任務,時數,交付物
Week 1,Day 1-2,專案建立,建立資料夾結構、安裝套件、設定環境,4h,專案骨架、README
Week 1,Day 3-4,資料生成,執行 GPT-4 腳本生成 350 筆、人工標註 100 筆,6h,500 筆訓練資料
Week 1,Day 5,資料處理,清洗、劃分資料集,2h,train/val/test CSV
Week 1,Day 6-7,模型訓練,訓練 BERT 意圖分類器、評估效能,6h,訓練好的模型、評估報告
Week 2,Day 8-9,Line Bot 基礎,建立 Flask Webhook、Line SDK 整合,6h,可接收訊息的 Bot
Week 2,Day 10-11,ChatGPT 整合,設計 Prompt、API 呼叫、課程資料載入,6h,可回答問題的 Bot
Week 2,Day 12,BERT 整合,意圖分類器推論、決策邏輯,4h,可判斷興趣的 Bot
Week 2,Day 13-14,資料庫與提醒,SQLite 建立、提醒機制實作,6h,可追蹤與提醒的 Bot
Week 3,Day 15-16,測試,功能測試、效能測試、修 Bug,6h,測試報告
Week 3,Day 17-18,部署,Google Cloud Run 部署、設定域名,4h,上線的 Bot
Week 3,Day 19-20,文件撰寫,簡報、Word 報告、README,8h,簡報、報告
Week 3,Day 21,總結,最終測試、Demo 準備,4h,Demo 影片
